ProjectName,Release,MethodName,LOC,ParameterCount,CycloComplexity,CognitiveComplexity,NestingDepth,Revisions,Authors,TotalChurn,MaxChurn,AvgChurn,NumberOfCodeSmells,Bugginess
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java/toString(),3,0,1,0,0,158,46,10074,512,36.59,0,yes
BOOKKEEPER,4.1.0,"hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java/getAfterInsertingIfAbsent(Map, K, Factory)",8,3,2,1,1,1,1,0,0,0.00,0,no
BOOKKEEPER,4.1.0,"hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java/addToMultiMap(Map, K, V, Factory)",4,4,1,0,0,1,1,0,0,0.00,0,no
BOOKKEEPER,4.1.0,"hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java/removeFromMultiMap(Map, K, V)",14,3,4,5,2,1,1,0,0,0.00,0,no
BOOKKEEPER,4.1.0,"hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java/handleUnsubscribeResponse(PubSubResponse, PubSubData, Channel)",35,3,6,6,1,7,4,77,17,6.17,0,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/toString(),9,0,1,1,0,13,8,341,106,21.75,0,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/usePage(),3,0,1,0,0,13,8,341,106,21.75,0,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/pin(),3,0,1,0,0,13,8,341,106,21.75,0,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/unpin(),3,0,1,0,0,13,8,341,106,21.75,0,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/isPinned(),3,0,1,0,0,13,8,341,106,21.75,0,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/releasePage(),6,0,2,1,1,13,8,341,106,21.75,0,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/checkPage(),5,0,2,1,1,13,8,341,106,21.75,0,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/equals(Object),4,1,2,1,0,13,8,341,106,21.75,0,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/hashCode(),3,0,1,0,0,13,8,341,106,21.75,0,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/setClean(int),3,1,1,0,0,13,8,341,106,21.75,0,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/isClean(),3,0,1,0,0,13,8,341,106,21.75,0,no
BOOKKEEPER,4.1.0,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/setOffset(long, int)",6,2,1,0,0,13,8,341,106,21.75,0,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/getOffset(int),4,1,1,0,0,13,8,341,106,21.75,0,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/zeroPage(),6,0,1,0,0,13,8,341,106,21.75,0,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/readPage(FileInfo),10,1,3,3,2,13,8,341,106,21.75,0,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/getPageToWrite(),5,0,1,0,0,13,8,341,106,21.75,0,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/setLedger(long),3,1,1,0,0,13,8,341,106,21.75,0,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/getLedger(),3,0,1,0,0,13,8,341,106,21.75,0,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/getVersion(),3,0,1,0,0,13,8,341,106,21.75,0,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/setFirstEntry(long),6,1,2,1,1,13,8,341,106,21.75,0,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/getFirstEntry(),3,0,1,0,0,13,8,341,106,21.75,0,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/inUse(),3,0,1,0,0,13,8,341,106,21.75,0,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/getLastEntry(),8,0,3,3,2,13,8,341,106,21.75,0,no
BOOKKEEPER,4.1.0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java/setUncaughtExceptionHandler(UncaughtExceptionHandler),3,1,1,0,0,2,2,2,1,1.00,0,no
BOOKKEEPER,4.1.0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java/invokeUncaughtExceptionHandler(Throwable),4,1,1,0,0,2,2,2,1,1.00,0,no
